"4.1.1 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Connection, general"
"5900.3.1 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Connection splicer / line connector " , "Connection splicer, 4 connection points " , "Connection splicer, 4 connection points"
"5900.98.1 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Connection splicer / line connector " , "Graphic " , "Graphic"
"5900.99.1 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Connection splicer / line connector " , "Connection splicer, variable " , "Connection splicer, variable"
"5901.1.0 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Accessories " , "Accessories, 1 connection point " , "Accessories, general, 1 connection point"
"5901.1.1 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Accessories " , "Accessories, 1 connection point " , "Accessories, 1 connection point"
"5901.1.2 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Accessories " , "Accessories, 1 connection point " , "Silencer"
"5901.1.3 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Accessories " , "Accessories, 1 connection point " , "Lock, plug"
"5901.98.1 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Accessories " , "Graphic " , "Graphic"
"5901.99.1 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Accessories " , "Accessories, variable " , "Accessories, variable"
"5902.1.0 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Plug-in connector " , "Plug-in connector, 2 connection points " , "Plug-in connector, general"
"5902.1.1 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Plug-in connector " , "Plug-in connector, 2 connection points " , "Male and female pin"
"5902.1.2 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Plug-in connector " , "Plug-in connector, 2 connection points " , "Male pin, 2 connection points"
"5902.1.3 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Plug-in connector " , "Plug-in connector, 2 connection points " , "Female pin, 2 connection points"
"5903.1.1 " , "Fluid power " , "Connection splicer / line connector, accessories " , "Control valve /screw connection " , "Control valve / screw connection, 2 connection points " , "Control valve / screw connection, 2 connection points"
"6001.98.1 " , "Fluid power " , "Special function " , "Other (fluid) " , "Graphic " , "Graphic"
"6001.99.1 " , "Fluid power " , "Special function " , "Other (fluid) " , "Others (fluid), variable " , "Others (fluid), variable"
"6002.1.1 " , "Fluid power " , "Special function " , "Device connection point (fluid) " , "Device connection point (fluid) " , "Device connection point (fluid)"
"6002.2.1 " , "Fluid power " , "Special function " , "Device connection point (fluid) " , "Device connection point (fluid), 2 connection points " , "Device connection point (fluid), 2 connection points"
"6002.98.1 " , "Fluid power " , "Special function " , "Device connection point (fluid) " , "Graphic " , "Graphic"
"6002.99.1 " , "Fluid power " , "Special function " , "Device connection point (fluid) " , "Device connection point (fluid), variable " , "Device connection point (fluid), variable"
"6003.1.1 " , "Fluid power " , "Special function " , "Black box (fluid) " , "Black box (fluid) " , "Black box (fluid)"
"6100.1.0 " , "Fluid power " , "Sensors " , "Sensor " , "Sensor, 1 fluid connection point " , "Sensor, general"
"6100.1.1 " , "Fluid power " , "Sensors " , "Sensor " , "Sensor, 1 fluid connection point " , "Pressure sensor"
"6100.1.2 " , "Fluid power " , "Sensors " , "Sensor " , "Sensor, 1 fluid connection point " , "Flow rate sensor"
"6100.1.3 " , "Fluid power " , "Sensors " , "Sensor " , "Sensor, 1 fluid connection point " , "Level sensor"
"6100.1.4 " , "Fluid power " , "Sensors " , "Sensor " , "Sensor, 1 fluid connection point " , "Temperature sensor"
"6100.2.0 " , "Fluid power " , "Sensors " , "Sensor " , "Sensor, 2 fluid connection points " , "Sensor, general"
"6100.2.1 " , "Fluid power " , "Sensors " , "Sensor " , "Sensor, 2 fluid connection points " , "Pressure sensor"
"6100.2.2 " , "Fluid power " , "Sensors " , "Sensor " , "Sensor, 2 fluid connection points " , "Flow rate sensor"
"6100.2.3 " , "Fluid power " , "Sensors " , "Sensor " , "Sensor, 2 fluid connection points " , "Level sensor"
"6100.2.4 " , "Fluid power " , "Sensors " , "Sensor " , "Sensor, 2 fluid connection points " , "Temperature sensor"
"6100.98.1 " , "Fluid power " , "Sensors " , "Sensor " , "Graphic " , "Graphic"
"6100.99.1 " , "Fluid power " , "Sensors " , "Sensor " , "Sensor, variable " , "Sensor, variable"
"6200.1.1 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), I / O, 1 connection point " , "PLC connection point (fluid), general"
"6200.1.2 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), I / O, 1 connection point " , "PLC connection point (fluid), DI"
"6200.1.3 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), I / O, 1 connection point " , "PLC connection point (fluid), DO"
"6200.1.4 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), I / O, 1 connection point " , "PLC connection point (fluid), AI"
"6200.1.5 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), I / O, 1 connection point " , "PLC connection point (fluid), AO"
"6200.1.6 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), I / O, 1 connection point " , "PLC connection point (fluid), multifunction"
"6200.2.1 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), card power supply, 1 connection point " , "PLC connection point (fluid), PLC CPS (undefined)"
"6200.2.2 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), card power supply, 1 connection point " , "PLC connection point (fluid), PLC CPS (L)"
"6200.2.3 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), card power supply, 1 connection point " , "PLC connection point (fluid), PLC CPS (N)"
"6200.2.4 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), card power supply, 1 connection point " , "PLC connection point (fluid), PLC CPS (PE)"
"6200.2.5 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), card power supply, 1 connection point " , "PLC connection point (fluid), PLC CPS (+)"
"6200.2.6 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), card power supply, 1 connection point " , "PLC connection point (fluid), PLC CPS (M)"
"6200.2.7 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), card power supply, 1 connection point " , "PLC connection point (fluid), PLC CPS (-)"
"6200.2.8 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), card power supply, 1 connection point " , "PLC connection point (fluid), PLC CPS (SH)"
"6200.3.1 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), power supply, 1 connection point " , "PLC connection point (fluid), PLC PS (undefined)"
"6200.3.2 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), power supply, 1 connection point " , "PLC connection point (fluid), PLC PS (L)"
"6200.3.3 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), power supply, 1 connection point " , "PLC connection point (fluid), PLC PS (N)"
"6200.3.4 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), power supply, 1 connection point " , "PLC connection point (fluid), PLC PS (PE)"
"6200.3.5 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), power supply, 1 connection point " , "PLC connection point (fluid), PLC PS (+)"
"6200.3.6 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), power supply, 1 connection point " , "PLC connection point (fluid), PLC PS (M)"
"6200.3.7 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), power supply, 1 connection point " , "PLC connection point (fluid), PLC PS (-)"
"6200.3.8 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), power supply, 1 connection point " , "PLC connection point (fluid), PLC PS (SH)"
"6200.4.1 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), network / bus cable " , "Network / bus cable connection point (fluid), general"
"6200.4.5 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), network / bus cable " , "Network / bus cable connection point (fluid), switch connection point"
"6200.5.1 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), network / bus cable, 2 connection points " , "Network / bus cable connection point (fluid), general"
"6200.5.2 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), network / bus cable, 2 connection points " , "Network / bus cable connection point (fluid), throughput"
"6200.6.1 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), 2 connection points " , "PLC connection point (fluid), general, 2 connection points"
"6200.7.1 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), internal " , "PLC connection point (fluid), internal, general"
"6200.98.1 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "Graphic " , "Graphic"
"6200.99.0 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), variable " , "PLC connection point (fluid), general, variable"
"6200.99.1 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), variable " , "PLC connection point (fluid), variable"
"6200.99.2 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), variable " , "PLC connection point (fluid), variable, DI"
"6200.99.3 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), variable " , "PLC connection point (fluid), variable, DO"
"6200.99.4 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), variable " , "PLC connection point (fluid), variable, AI"
"6200.99.5 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC connection point (fluid) " , "PLC connection point (fluid), variable " , "PLC connection point (fluid), variable, AO"
"6201.1.1 " , "Fluid power " , "PLC / Bus (fluid) " , "PLC box (fluid) " , "PLC box (fluid) " , "PLC box (fluid)"
"10000.1.1 " , "Process engineering " , "Container " , "Container " , "Container " , "Container"
"10000.1.2 " , "Process engineering " , "Container " , "Container " , "Container " , "Tank"
"10000.1.3 " , "Process engineering " , "Container " , "Container " , "Container " , "Bunker"
"10000.1.4 " , "Process engineering " , "Container " , "Container " , "Container " , "Silo"
"10000.1.5 " , "Process engineering " , "Container " , "Container " , "Container " , "Column"
"10000.1.6 " , "Process engineering " , "Container " , "Container " , "Container " , "Reactor"
"10001.1.1 " , "Process engineering " , "Container " , "Container connection point " , "Container connection point " , "Container connection point"
"10001.2.1 " , "Process engineering " , "Container " , "Container connection point " , "Container connection point, 2 connection points " , "Container connection point, 2 connection points"
"10001.98.1 " , "Process engineering " , "Container " , "Container connection point " , "Graphic " , "Graphic"
"10001.99.1 " , "Process engineering " , "Container " , "Container connection point " , "Container connection point, variable " , "Container connection point, variable"
"10100.1.1 " , "Process engineering " , "Heating, cooling, drying " , "Container sheath " , "Container sheath, 2 connection points " , "Container sheath, 2 connection points"
"10100.98.1 " , "Process engineering " , "Heating, cooling, drying " , "Container sheath " , "Graphic " , "Graphic"
"10100.99.1 " , "Process engineering " , "Heating, cooling, drying " , "Container sheath " , "Container sheath, variable " , "Container sheath, variable"
"10101.1.1 " , "Process engineering " , "Heating, cooling, drying " , "Container pipe coil " , "Container pipe coil, 2 connection points " , "Container pipe coil, 2 connection points"
"10101.98.1 " , "Process engineering " , "Heating, cooling, drying " , "Container pipe coil " , "Graphic " , "Graphic"
"10101.99.1 " , "Process engineering " , "Heating, cooling, drying " , "Container pipe coil " , "Container pipe coil, variable " , "Container pipe coil, variable"
"10102.1.1 " , "Process engineering " , "Heating, cooling, drying " , "Heat exchanger " , "Heat exchanger, 4 connection points " , "Heat exchanger, 4 connection points"
"10102.98.1 " , "Process engineering " , "Heating, cooling, drying " , "Heat exchanger " , "Graphic " , "Graphic"
"10102.99.1 " , "Process engineering " , "Heating, cooling, drying " , "Heat exchanger " , "Heat exchanger, variable " , "Heat exchanger, variable"
"10103.1.0 " , "Process engineering " , "Heating, cooling, drying " , "Cooler " , "Cooler, 2 connection points " , "Cooler, general, 2 connection points"
"10103.1.1 " , "Process engineering " , "Heating, cooling, drying " , "Cooler " , "Cooler, 2 connection points " , "Cooler, 2 connection points"
"10103.1.2 " , "Process engineering " , "Heating, cooling, drying " , "Cooler " , "Cooler, 2 connection points " , "Cooling tower, 2 connection points"
"10103.2.1 " , "Process engineering " , "Heating, cooling, drying " , "Cooler " , "Cooler, 4 connection points " , "Cooler, 4 connection points"
"10103.98.1 " , "Process engineering " , "Heating, cooling, drying " , "Cooler " , "Graphic " , "Graphic"
"10103.99.1 " , "Process engineering " , "Heating, cooling, drying " , "Cooler " , "Cooler, variable " , "Cooler, variable"
"10104.1.1 " , "Process engineering " , "Heating, cooling, drying " , "Steam boiler " , "Steam boiler, 2 connection points " , "Steam boiler, 2 connection points"
"10104.98.1 " , "Process engineering " , "Heating, cooling, drying " , "Steam boiler " , "Graphic " , "Graphic"
"10104.99.1 " , "Process engineering " , "Heating, cooling, drying " , "Steam boiler " , "Steam boiler, variable " , "Steam boiler, variable"
"10105.1.1 " , "Process engineering " , "Heating, cooling, drying " , "Evaporator " , "Evaporator, 5 connection points " , "Evaporator, 5 connection points"
"10105.98.1 " , "Process engineering " , "Heating, cooling, drying " , "Evaporator " , "Graphic " , "Graphic"
"10105.99.1 " , "Process engineering " , "Heating, cooling, drying " , "Evaporator " , "Evaporator, variable " , "Evaporator, variable"
"10106.1.1 " , "Process engineering " , "Heating, cooling, drying " , "Furnace " , "Furnace, 2 connection points " , "Furnace, 2 connection points"
"10106.2.1 " , "Process engineering " , "Heating, cooling, drying " , "Furnace " , "Furnace, 4 connection points " , "Furnace, 4 connection points"
"10106.98.1 " , "Process engineering " , "Heating, cooling, drying " , "Furnace " , "Graphic " , "Graphic"
"10106.99.1 " , "Process engineering " , "Heating, cooling, drying " , "Furnace " , "Furnace, variable " , "Furnace, variable"
"10107.1.1 " , "Process engineering " , "Heating, cooling, drying " , "Dryer " , "Dryer, 3 connection points " , "Dryer, 3 connection points"
"10107.2.1 " , "Process engineering " , "Heating, cooling, drying " , "Dryer " , "Dryer, 4 connection points " , "Dryer, 4 connection points"
"10107.98.1 " , "Process engineering " , "Heating, cooling, drying " , "Dryer " , "Graphic " , "Graphic"
"10107.99.1 " , "Process engineering " , "Heating, cooling, drying " , "Dryer " , "Dryer, variable " , "Dryer, variable"
"10200.1.1 " , "Process engineering " , "Filter, separator, strainer " , "Filter " , "Filter, 2 connection points " , "Filter, 2 connection points"
"10200.2.1 " , "Process engineering " , "Filter, separator, strainer " , "Filter " , "Filter, 3 connection points " , "Filter, 3 connection points"
"10200.98.1 " , "Process engineering " , "Filter, separator, strainer " , "Filter " , "Graphic " , "Graphic"
"10200.99.1 " , "Process engineering " , "Filter, separator, strainer " , "Filter " , "Filter, variable " , "Filter, variable"
"10201.1.1 " , "Process engineering " , "Filter, separator, strainer " , "Separator " , "Separator, 3 connection points " , "Separator, 3 connection points"
"10201.98.1 " , "Process engineering " , "Filter, separator, strainer " , "Separator " , "Graphic " , "Graphic"
"10201.99.1 " , "Process engineering " , "Filter, separator, strainer " , "Separator " , "Separator, variable " , "Separator, variable"
"10202.1.1 " , "Process engineering " , "Filter, separator, strainer " , "Strainer " , "Strainer, 3 connection points " , "Strainer, 3 connection points"
"10202.98.1 " , "Process engineering " , "Filter, separator, strainer " , "Strainer " , "Graphic " , "Graphic"
"10202.99.1 " , "Process engineering " , "Filter, separator, strainer " , "Strainer " , "Strainer, variable " , "Strainer, variable"
"10400.1.1 " , "Process engineering " , "Mixer, stirrer, kneader " , "Mixer " , "Mixer, 3 connection points " , "Mixer, 3 connection points"
"10400.98.1 " , "Process engineering " , "Mixer, stirrer, kneader " , "Mixer " , "Graphic " , "Graphic"
"10400.99.1 " , "Process engineering " , "Mixer, stirrer, kneader " , "Mixer " , "Mixer, variable " , "Mixer, variable"
"10401.1.1 " , "Process engineering " , "Mixer, stirrer, kneader " , "Stirrer " , "Stirrer, 3 connection points " , "Stirrer, 3 connection points"
"10401.98.1 " , "Process engineering " , "Mixer, stirrer, kneader " , "Stirrer " , "Graphic " , "Graphic"
"10401.99.1 " , "Process engineering " , "Mixer, stirrer, kneader " , "Stirrer " , "Stirrer, variable " , "Stirrer, variable"
"10402.1.1 " , "Process engineering " , "Mixer, stirrer, kneader " , "Kneader " , "Kneader, 3 connection points " , "Kneader, 3 connection points"
"10402.98.1 " , "Process engineering " , "Mixer, stirrer, kneader " , "Kneader " , "Graphic " , "Graphic"
"10402.99.1 " , "Process engineering " , "Mixer, stirrer, kneader " , "Kneader " , "Kneader, variable " , "Kneader, variable"
"10500.1.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Pump " , "Pump, 2 connection points " , "Pump, 2 connection points"
"10500.2.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Pump " , "Pump, 3 connection points " , "Pump, 3 connection points"
"10500.98.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Pump " , "Graphic " , "Graphic"
"10500.99.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Pump " , "Pump, variable " , "Pump, variable"
"10501.1.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Air compressor " , "Air compressor, 2 connection points " , "Air compressor, 2 connection points"
"10501.2.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Air compressor " , "Air compressor, 3 connection points " , "Air compressor, 3 connection points"
"10501.98.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Air compressor " , "Graphic " , "Graphic"
"10501.99.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Air compressor " , "Air compressor, variable " , "Air compressor, variable"
"10502.1.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Compressor " , "Compressor, 2 connection points " , "Compressor, 2 connection points"
"10502.2.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Compressor " , "Compressor, 3 connection points " , "Compressor, 3 connection points"
"10502.98.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Compressor " , "Graphic " , "Graphic"
"10502.99.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Compressor " , "Compressor, variable " , "Compressor, variable"
"10503.1.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Vacuum pump " , "Vacuum pump, 2 connection points " , "Vacuum pump, 2 connection points"
"10503.2.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Vacuum pump " , "Vacuum pump, 3 connection points " , "Vacuum pump, 3 connection points"
"10503.98.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Vacuum pump " , "Graphic " , "Graphic"
"10503.99.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Vacuum pump " , "Vacuum pump, variable " , "Vacuum pump, variable"
"10504.1.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Ventilator " , "Ventilator, 2 connection points " , "Ventilator, 2 connection points"
"10504.2.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Ventilator " , "Ventilator, 3 connection points " , "Ventilator, 3 connection points"
"10504.98.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Ventilator " , "Graphic " , "Graphic"
"10504.99.1 " , "Process engineering " , "Pump, air compressor, compressor " , "Ventilator " , "Ventilator, variable " , "Ventilator, variable"
"10600.1.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Lifter " , "Lifter, 2 connection points " , "Lifter, 2 connection points"
"10600.2.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Lifter " , "Lifter, 3 connection points " , "Lifter, 3 connection points"
"10600.98.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Lifter " , "Graphic " , "Graphic"
"10600.99.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Lifter " , "Lifter, variable " , "Lifter, variable"
"10601.1.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Conveyor " , "Conveyor, 2 connection points " , "Conveyor, 2 connection points"
"10601.2.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Conveyor " , "Conveyor, 3 connection points " , "Conveyor, 3 connection points"
"10601.98.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Conveyor " , "Graphic " , "Graphic"
"10601.99.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Conveyor " , "Conveyor, variable " , "Conveyor, variable"
"10602.1.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Transporter " , "Transporter, 2 connection points " , "Transporter, 2 connection points"
"10602.2.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Transporter " , "Transporter, 3 connection points " , "Transporter, 3 connection points"
"10602.98.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Transporter " , "Graphic " , "Graphic"
"10602.99.1 " , "Process engineering " , "Lifter, conveyor, transporter " , "Transporter " , "Transporter, variable " , "Transporter, variable"
"10700.1.1 " , "Process engineering " , "Scale, measurement system " , "Scale " , "Scale, 2 connection points " , "Scale, 2 connection points"
"10700.2.1 " , "Process engineering " , "Scale, measurement system " , "Scale " , "Scale, 3 connection points " , "Scale, 3 connection points"
"10700.98.1 " , "Process engineering " , "Scale, measurement system " , "Scale " , "Graphic " , "Graphic"
"10700.99.1 " , "Process engineering " , "Scale, measurement system " , "Scale " , "Scale, variable " , "Scale, variable"
"10701.1.1 " , "Process engineering " , "Scale, measurement system " , "Measurement system " , "Measurement system, 2 connection points " , "Measurement system, 2 connection points"
"10701.2.1 " , "Process engineering " , "Scale, measurement system " , "Measurement system " , "Measurement system, 3 connection points " , "Measurement system, 3 connection points"
"10701.98.1 " , "Process engineering " , "Scale, measurement system " , "Measurement system " , "Graphic " , "Graphic"
"10701.99.1 " , "Process engineering " , "Scale, measurement system " , "Measurement system " , "Measurement system, variable " , "Measurement system, variable"
"10800.1.1 " , "Process engineering " , "Engine " , "Engine " , "Engine, 1 connection point " , "Engine, 1 connection point"
"10800.98.1 " , "Process engineering " , "Engine " , "Engine " , "Graphic " , "Graphic"
"10800.99.1 " , "Process engineering " , "Engine " , "Engine " , "Engine, variable " , "Engine, variable"
"10900.1.0 " , "Process engineering " , "Valves " , "Shut-off fitting " , "Shut-off fitting, 2 connection points " , "Shut-off fitting, general, 2 connection points"
"10900.1.1 " , "Process engineering " , "Valves " , "Shut-off fitting " , "Shut-off fitting, 2 connection points " , "Shut-off fitting, 2 connection points"
"10900.1.2 " , "Process engineering " , "Valves " , "Shut-off fitting " , "Shut-off fitting, 2 connection points " , "Shut-off valve, 2 connection points"
"10900.1.3 " , "Process engineering " , "Valves " , "Shut-off fitting " , "Shut-off fitting, 2 connection points " , "Shut-off flap, 2 connection points"
"10900.1.4 " , "Process engineering " , "Valves " , "Shut-off fitting " , "Shut-off fitting, 2 connection points " , "Shut-off cock, 2 connection points"
"10900.98.1 " , "Process engineering " , "Valves " , "Shut-off fitting " , "Graphic " , "Graphic"
"10900.99.1 " , "Process engineering " , "Valves " , "Shut-off fitting " , "Shut-off fitting, variable " , "Shut-off fitting, variable"
"10901.1.0 " , "Process engineering " , "Valves " , "Three-way valve " , "Three-way valve, 3 connection points " , "Three-way valve, general, 3 connection points"
"10901.1.1 " , "Process engineering " , "Valves " , "Three-way valve " , "Three-way valve, 3 connection points " , "Three-way valve, 3 connection points"
"10901.1.2 " , "Process engineering " , "Valves " , "Three-way valve " , "Three-way valve, 3 connection points " , "Three-port valve, 3 connection points"
"10901.1.3 " , "Process engineering " , "Valves " , "Three-way valve " , "Three-way valve, 3 connection points " , "Three-way flap, 3 connection points"
"10901.1.4 " , "Process engineering " , "Valves " , "Three-way valve " , "Three-way valve, 3 connection points " , "Three-way cock, 3 connection points"
"10901.98.1 " , "Process engineering " , "Valves " , "Three-way valve " , "Graphic " , "Graphic"
"10901.99.1 " , "Process engineering " , "Valves " , "Three-way valve " , "Three-way valve, variable " , "Three-way valve, variable"
"10902.1.0 " , "Process engineering " , "Valves " , "Check valve " , "Check valve, 2 connection points " , "Check control valve, general, 2 connection points"
"10902.1.1 " , "Process engineering " , "Valves " , "Check valve " , "Check valve, 2 connection points " , "Check valve, 2 connection points"
"10902.1.2 " , "Process engineering " , "Valves " , "Check valve " , "Check valve, 2 connection points " , "Non-return valve, 2 connection points"
"10902.1.3 " , "Process engineering " , "Valves " , "Check valve " , "Check valve, 2 connection points " , "Check flap, 2 connection points"
"10902.98.1 " , "Process engineering " , "Valves " , "Check valve " , "Graphic " , "Graphic"
"10902.99.1 " , "Process engineering " , "Valves " , "Check valve " , "Check valve, variable " , "Check valve, variable"
"10903.1.0 " , "Process engineering " , "Valves " , "Safety control valve " , "Safety fitting, 2 connection points " , "Safety fitting, general, 2 connection points"
"10903.1.1 " , "Process engineering " , "Valves " , "Safety control valve " , "Safety fitting, 2 connection points " , "Safety fitting, 2 connection points"
"10903.1.2 " , "Process engineering " , "Valves " , "Safety control valve " , "Safety fitting, 2 connection points " , "Safety valve, 2 connection points"
"10903.1.3 " , "Process engineering " , "Valves " , "Safety control valve " , "Safety fitting, 2 connection points " , "Safety flap, 2 connection points"
"10903.1.4 " , "Process engineering " , "Valves " , "Safety control valve " , "Safety fitting, 2 connection points " , "Safety cock, 2 connection points"
"10903.98.1 " , "Process engineering " , "Valves " , "Safety control valve " , "Graphic " , "Graphic"
"10903.99.1 " , "Process engineering " , "Valves " , "Safety control valve " , "Safety fitting, variable " , "Safety fitting, variable"
"10904.1.0 " , "Process engineering " , "Valves " , "Control fitting " , "Control fitting, 2 connection points " , "Control fitting, general, 2 connection points"
"10904.1.1 " , "Process engineering " , "Valves " , "Control fitting " , "Control fitting, 2 connection points " , "Control fitting, 2 connection points"
"10904.1.2 " , "Process engineering " , "Valves " , "Control fitting " , "Control fitting, 2 connection points " , "Control valve, 2 connection points"
"10904.1.3 " , "Process engineering " , "Valves " , "Control fitting " , "Control fitting, 2 connection points " , "Control flap, 2 connection points"
"10904.98.1 " , "Process engineering " , "Valves " , "Control fitting " , "Graphic " , "Graphic"
"10904.99.1 " , "Process engineering " , "Valves " , "Control fitting " , "Control fitting, variable " , "Control fitting, variable"
"10905.1.0 " , "Process engineering " , "Valves " , "Four-way fitting " , "Four-way fitting, 4 connection points " , "Four-way fitting, general, 4 connection points"
"10905.1.1 " , "Process engineering " , "Valves " , "Four-way fitting " , "Four-way fitting, 4 connection points " , "Four-way fitting, 4 connection points"
"10905.1.2 " , "Process engineering " , "Valves " , "Four-way fitting " , "Four-way fitting, 4 connection points " , "Four-way valve, 4 connection points"
"10905.1.3 " , "Process engineering " , "Valves " , "Four-way fitting " , "Four-way fitting, 4 connection points " , "Four-way flap, 4 connection points"
"10905.1.4 " , "Process engineering " , "Valves " , "Four-way fitting " , "Four-way fitting, 4 connection points " , "Four-way cock, 4 connection points"
"10905.98.1 " , "Process engineering " , "Valves " , "Four-way fitting " , "Graphic " , "Graphic"
"10905.99.1 " , "Process engineering " , "Valves " , "Four-way fitting " , "Four-way fitting, variable " , "Four-way fitting, variable"
"11000.1.0 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 1 connection point " , "Piping part, general, 1 connection point"
"11000.1.1 " , "Process engineering " , "Pipeline part " , "Pipeline parts " , "Pipeline part, 1 connection point " , "Pipeline part, 1 connection point"
